priority,type,title,local_path,source_url,bytes
P1,paper,Person-Job Fit with Joint Representation Learning,local/pjfnn-1810.04040.pdf,https://arxiv.org/pdf/1810.04040.pdf,3365903
P2,paper,Ability-aware Person-Job Fit,local/ability-aware-pjf-1812.08947.pdf,https://arxiv.org/pdf/1812.08947.pdf,2294083
P1,paper,PJFCANN,local/pjfcann-2206.09116.pdf,https://arxiv.org/pdf/2206.09116.pdf,723856
P0,paper,conSultantBERT,local/consultantbert-2109.06501.pdf,https://arxiv.org/pdf/2109.06501.pdf,710846
P0,paper,ConFit,local/confit-2401.16349v1.pdf,https://arxiv.org/pdf/2401.16349v1.pdf,918275
P2,paper,CONFIT V2,local/confit-v2-2025-findings-acl-661.pdf,https://aclanthology.org/2025.findings-acl.661.pdf,715622
P1,industrial-paper,LinkSAGE,local/linksage-2402.13430v1.pdf,https://arxiv.org/pdf/2402.13430v1.pdf,754391
P1,paper,HRGraph,local/hrgraph-2408.13521.pdf,https://arxiv.org/pdf/2408.13521.pdf,506213
P0,paper,Heterogeneous Graph Transformer,local/hgt-2003.01332.pdf,https://arxiv.org/pdf/2003.01332.pdf,3859771
P0,paper,LightGCN,local/lightgcn-2002.02126.pdf,https://arxiv.org/pdf/2002.02126.pdf,1294898
P1,paper,KGCN,local/kgcn-1904.12575.pdf,https://arxiv.org/pdf/1904.12575.pdf,934353
P1,paper,KGAT,local/kgat-1905.07854.pdf,https://arxiv.org/pdf/1905.07854.pdf,1424893
P0,official-docs,PyTorch Geometric HeteroConv,local/pyg-heteroconv.html,https://pytorch-geometric.readthedocs.io/en/2.7.0/generated/torch_geometric.nn.conv.HeteroConv.html,27829
P0,official-docs,PyTorch Geometric Heterogeneous Graph Learning,local/pyg-heterogeneous.html,https://pytorch-geometric.readthedocs.io/en/latest/notes/heterogeneous.html,81671
P1,official-docs,DGL HeteroGraphConv,local/dgl-heterographconv.html,https://www.dgl.ai/dgl_docs/generated/dgl.nn.pytorch.HeteroGraphConv.html,33854
