priority,type,title,year,task,core_idea,what_to_learn,risk,adoption_decision,url
P0,uploaded-note,调研 5_14晚会.pdf,2026,项目路线与最小 KG Schema,主任务定为候选人到 Top-K 岗位推荐；采用 Rule/BM25/SBERT/KG 路径打分；图谱核心为 Candidate-Skill-Job。,项目最小闭环、功能拆分、评价指标、解释字段。,调研材料偏原型方案，复杂 GNN 需要额外实验验证。,采用为项目约束和最小闭环依据。,uploaded:/mnt/data/调研 5_14晚会.pdf
P0,uploaded-paper,A Comprehensive Survey on Graph Neural Networks,2019,GNN 基础综述,将 GNN 分为 RecGNN、ConvGNN、GAE、STGNN；强调邻域聚合、消息传递、异构性、动态性和可扩展性。,GNN 理论基础、消息传递范式、模型深度和可扩展风险。,综述不是人岗匹配专用，需要结合推荐系统和 HR 场景。,采用为理论基础。,uploaded:/mnt/data/A Comprehensive Survey on Graph Neural Networks.pdf
P1,paper,Person-Job Fit: Adapting the Right Talent for the Right Job with Joint Representation Learning,2018,Person-Job Fit,PJFNN 用 CNN 学习候选人资格与岗位要求的联合表示，并能定位哪些岗位要求被满足。,人岗匹配经典深度 baseline，局部要求与候选人经历的对齐方式。,不是图模型，冷启动和 KG 解释能力有限。,作为人岗匹配深度 baseline/参考。,https://arxiv.org/abs/1810.04040
P2,paper,Enhancing Person-Job Fit for Talent Recruitment: An Ability-aware Neural Network Approach,2018,Person-Job Fit,能力感知神经网络，利用历史岗位申请数据，为匹配结果提供更强解释。,能力维度建模、岗位需求与候选人经历的细粒度表示。,模型结构相对复杂，需确认数据字段是否支撑。,作为能力建模参考。,https://arxiv.org/abs/1812.08947
P2,paper,An Enhanced Neural Network Approach to Person-Job Fit in Talent Recruitment / TAPJFNN,2020,Person-Job Fit,Topic-based Ability-aware Person-Job Fit Neural Network，结合主题和能力感知结构。,主题能力表示、解释“候选人能力满足哪些岗位要求”。,需要较好文本和历史申请数据。,作为解释型人岗匹配参考。,https://dl.acm.org/doi/abs/10.1145/3376927
P1,paper+code,Person-job fit estimation from candidate profile and related recruitment history with co-attention neural networks,2022,Person-Job Fit,PJFCANN 融合 co-attention 局部语义表示和历史招聘记录的 GNN 全局经验表示。,文本局部匹配 + 历史招聘图经验融合。,依赖招聘历史记录，数据不足时收益不稳定。,作为非纯 KG 但含图经验的强 baseline。,https://arxiv.org/abs/2206.09116
P0,paper,conSultantBERT: Fine-tuned Siamese Sentence-BERT for Matching Jobs and Job Seekers,2021,Text semantic matching,微调 Siamese SBERT，构建岗位和求职者文本 embedding，支持大规模匹配。,SBERT baseline、跨语言/多语言场景、文本 embedding 工程。,文本语义强但结构化规则和图谱路径不足。,作为 SBERT baseline 重要参考。,https://arxiv.org/abs/2109.06501
P0,paper,ConFit: Improving Resume-Job Matching using Data Augmentation and Contrastive Learning,2024,Resume-job matching,使用数据增强和对比学习提升简历-岗位匹配 dense retrieval。,InfoNCE、hard negatives、文本增强。,主要是 dense retrieval，图谱路径和结构解释不足。,采用对比学习和 hard negative 思路。,https://arxiv.org/html/2401.16349v1
P2,paper,CONFIT V2: Improving Resume-Job Matching using Hypothetical Reference Resume and Runner-up Hard Negative Mining,2025,Resume-job matching,在 ConFit 基础上，用 LLM 生成 hypothetical reference resume，并引入 runner-up hard negative mining。,新一代 hard negative mining 和 LLM 数据增强。,需要控制 LLM 生成数据质量和偏差。,作为后续增强方案，不作为 P0 必需。,https://aclanthology.org/2025.findings-acl.661.pdf
P1,industrial-paper,LinkSAGE: Optimizing Job Matching Using Graph Neural Networks,2024/2025,Large-scale job matching,LinkedIn 将 GNN 集成到大规模岗位匹配系统，处理巨型异构 job marketplace graph 和 nearline inference。,大规模图推荐工程、线上解耦、推理延迟、nearline 计算。,工业规模方案复杂，不能直接照搬。,采用工程原则，不作为原型必需。,https://arxiv.org/html/2402.13430v1
P1,paper+code,HRGraph: Leveraging LLMs for HR Data Knowledge Graphs with Information Propagation-based Job Recommendation,2024,HR KG + recommendation,使用 LLM 构建 HR 知识图谱，并用于岗位推荐、技能差距等下游任务。,HR KG 构建、LLM 抽取、信息传播、技能差距。,LLM 抽取需要校验与治理。,作为 HR KG 构建参考。,https://arxiv.org/abs/2408.13521
P1,paper,Graph Neural Networks for Candidate-Job Matching,2025,Candidate-job matching with GNN,构造候选人-岗位对的二部图/属性图，用 GNN 处理极端类别不平衡的人岗匹配。,CJM 图构造、类别不平衡处理、LLM 抽取属性。,图构造方式和本项目全局异构 KG 不完全一致。,作为 GNN 人岗匹配近期参考。,https://link.springer.com/article/10.1007/s41019-025-00293-y
P3,paper,Resume-Job Compatibility Scoring Using Graph Neural Networks and LLMs,2025,Resume-job compatibility scoring,结合 GNN 和 LLM 提取的结构化信息进行简历-岗位兼容性评分。,GNN + LLM 在简历岗位评分中的结合方式。,可能需要较多标注和 LLM 成本。,作为增强路线参考。,https://dl.acm.org/doi/full/10.1145/3787330.3787359
P0,paper,Heterogeneous Graph Transformer,2020,Heterogeneous GNN,使用节点类型和边类型相关参数建模异构图注意力，并支持 Web-scale 异构图训练。,主模型 HGT/HeteroConv 的理论和架构基础。,原始 HGT 工程复杂，原型可用 HeteroConv 简化实现。,作为主模型骨架。,https://arxiv.org/abs/2003.01332
P0,paper+code,LightGCN: Simplifying and Powering Graph Convolution Network for Recommendation,2020,Graph recommendation baseline,去掉特征变换和非线性，只保留邻域聚合，在协同过滤上表现强。,强图推荐 baseline，简单可实现。,不适合处理复杂异构节点和技能解释。,必须实现 baseline。,https://arxiv.org/abs/2002.02126
P1,paper+code,KGCN: Knowledge Graph Convolutional Networks for Recommender Systems,2019,KG recommendation baseline,通过 KG 邻居采样和用户特定的邻域聚合学习 item/entity 表示。,KG 推荐 baseline、邻居采样、冷启动增强。,原始 user-item 设定与 person-job 双边匹配不同。,KGCN/KGAT 至少二选一。,https://arxiv.org/abs/1904.12575
P1,paper+code,KGAT: Knowledge Graph Attention Network for Recommendation,2019,KG recommendation baseline,端到端建模 user-item 图和知识图谱中的高阶连通性，并用 attention 聚合。,高阶 KG 路径、attention 传播、知识感知推荐。,人岗场景仍需技能缺口和 required/preferred 边特征定制。,KGCN/KGAT 至少二选一。,https://arxiv.org/abs/1905.07854
P0,official-docs,PyTorch Geometric HeteroConv,2026,Heterogeneous GNN implementation,HeteroConv 为异构图每种边类型指定不同 message passing 模块，并聚合同一目标节点的多关系结果。,PyG 实现异构图消息传递。,版本更新较快，代码需固定依赖版本。,PyG 实现首选参考。,https://pytorch-geometric.readthedocs.io/en/2.7.0/generated/torch_geometric.nn.conv.HeteroConv.html
P1,official-docs,DGL HeteroGraphConv,2026,Heterogeneous GNN implementation,DGL HeteroGraphConv 对每种关系图应用子模块，并将结果写入目标节点后聚合。,DGL 异构图实现备选。,与 PyG API 不兼容，项目需二选一为主。,作为备选实现参考。,https://www.dgl.ai/dgl_docs/generated/dgl.nn.pytorch.HeteroGraphConv.html
P0,official-docs,PyTorch Geometric Heterogeneous Graph Learning,2026,Heterogeneous graph data modeling,异构图中不同类型节点和边拥有独立特征张量和类型定义。,HeteroData 数据组织。,需要小心 edge type 命名和 reverse edges。,PyG 数据结构参考。,https://pytorch-geometric.readthedocs.io/en/latest/notes/heterogeneous.html
P3,blog,Knowledge Graph with Job Recommendation,2022,KG + job recommendation product understanding,从产品角度介绍知识图谱及岗位推荐应用。,答辩中的业务表达和 KG 价值说明。,博客深度有限，不能作为算法主依据。,用于背景和展示，不用于核心算法证明。,https://community.sap.com/t5/technology-blog-posts-by-sap/knowledge-graph-with-job-recommendation/ba-p/13568551
P3,blog/tutorial,Building a Recommendation Engine with Neo4j,2023,Graph recommendation engineering,介绍用 Neo4j 构建推荐引擎的基础流程。,Neo4j 原型展示、图查询和推荐演示。,不是 GNN 算法文献。,用于系统展示和原型教程。,https://neo4j.com/blog/developer/recommendation-engine-hands-on-1/
P2,blog,Building Knowledge Graphs for Recruitment Technology,2023,Recruitment ontology/KG,招聘本体与外部知识图谱/分类体系映射，如 ESCO、O*NET 等。,技能 taxonomy、外部标准对齐、知识治理。,产品博客，细节有限。,用于技能标准化和知识治理参考。,https://www.textkernel.com/learn-support/blog/textkernel-acquires-us-based-software-company-sovren-to-become-the-global-leader-in-ai-powered-recruitment-technology/
P3,blog,Revolutionizing HR Recruiting with Knowledge Graphs and Large Language Models,2024,HR KG + LLM product design,KG 与 LLM 结合招聘数据，统一候选人与岗位上下文。,产品方案、KG + LLM 展示叙事。,商业博客，不作为算法主依据。,用于系统展示和答辩背景。,https://blog.metaphacts.com/revolutionizing-hr-recruiting-with-knowledge-graphs-and-large-language-models
